Dimensions,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 208mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,290mmW x 45mmH x 510mmD,,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 208mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,310mmW x 70mmH x 512mmD,290mmW x 45mmH x 510mmD,310mmW x 70mmH x 512mmD
Finish,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Ceramic glass,Stainless steel and Ceramic Glass,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Stainless steel,Ceramic glass,Stainless steel and Ceramic Glass
Installation,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount,Topmount
No. of burners,2,2,2,2,2,1,2,2,2,2,2,2,,2,1,2,2,2
 Capacity,"Front: 1400–1800W
Rear: 1400–1800W","front: Ø140/100mm, 1400W | 2500W boost
rear: Ø180/100mm, 1850W | 2500W boost",3.6L Capacity,1800W,"Front: Ø140mm, 1200 watt
Rear: Ø180mm, 1800 watt","dual-control wok burner
inner ring: 3.6 mj/hr
outer ring: 15 mj/hr","Front:  3.9 mj/hr
Rear: 12 mj/hr","Rear: 190mm diameter, 1700W
Front: 160mm diameter, 1200W","Front: 140, 1400W/ 2500W boost
Rear: 180mm, 1850W/2500W boost","Front: 1400–1800W
Rear: 1400–1800W","front: Ø140/100mm, 1400W | 2500W boost
rear: Ø180/100mm, 1850W | 2500W boost",3.6L Capacity,1800W,"Front: Ø140mm, 1200 watt
Rear: Ø180mm, 1800 watt","dual-control wok burner
inner ring: 3.6 mj/hr
outer ring: 15 mj/hr","Front:  3.9 mj/hr
Rear: 12 mj/hr","Rear: 190mm diameter, 1700W
Front: 160mm diameter, 1200W","Front: 140, 1400W/ 2500W boost
Rear: 180mm, 1850W/2500W boost"
Temperature Control,9 Power levels + boost,9 Power levels + boost,0-180ºC,9 Power levels,9 Heat settings per zone,,,,9 power levels per zone + boost,9 Power levels + boost,9 Power levels + boost,0-180ºC,9 Power levels,9 Heat settings per zone,,,,9 power levels per zone + boost
Gas Connection,n/a,n/a,n/a,n/a,n/a,"set for natural gas — regulator supplied
adaptable for ULPG — no regulator required","set for natural gas — regulator supplied
adaptable for ULPG — no regulator required",n/a,n/a,n/a,n/a,n/a,n/a,n/a,"set for natural gas — regulator supplied
adaptable for ULPG — no regulator required","set for natural gas — regulator supplied
adaptable for ULPG — no regulator required",n/a,n/a
Power,"220–240V, 50/60Hz
3000W 
15A Connection ","220–240V, 50/60Hz
3600W 
15A Connection ","220–240V, 50/60Hz
2200W 
10A Connection ","220–240V, 50/60Hz
1800W 
10A Connection ","220–240V, 50/60Hz
3000W 
15A Connection ","220–240V, 50/60Hz
10A Connection ","220–240V, 50/60Hz
10A Connection ","220–240V, 50/60Hz
2900W 
16A Connection ","220–240V, 50/60Hz
3600W 
16A Connection ","220–240V, 50/60Hz
3000W 
15A Connection ","220–240V, 50/60Hz
3600W 
15A Connection ","220–240V, 50/60Hz
2200W 
10A Connection ","220–240V, 50/60Hz
1800W 
10A Connection ","220–240V, 50/60Hz
3000W 
16A Connection ","220–240V, 50/60Hz
10A Connection ","220–240V, 50/60Hz
10A Connection ","220–240V, 50/60Hz
2900W 
16A Connection ","220–240V, 50/60Hz
3600W 
16A Connection "
Safety,Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Flame failure device,Flame failure device ,"Residual heat indicators
Power on LED",Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Residual heat indicators,Flame failure device,Flame failure device ,"Residual heat indicators
Power on LED",Residual heat indicators
Supplied Accessories,n/a,n/a,n/a,Cast-iron griddle,n/a,Removable cast-iron trivet,Removable cast-iron trivet,n/a,n/a,n/a,n/a,n/a,Cast-iron griddle,n/a,Removable cast-iron trivet,Removable cast-iron trivet,n/a,n/a
Optional Accessories,Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),"Domino stainless steel joining kit  - (LGPGF)
Volcanic Rock - (Spare part #977450234)",Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),"Domino stainless steel joining kit  - (LGPGF)
Volcanic Rock - (Spare part #977450234)",Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF),Domino stainless steel joining kit  - (LGPGF)
"To be advised
Cutout",292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,490mmD x 270mmW,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,292mmW x 494mmD,490mmD x 270mmW,292mmW x 494mmD
Warranty,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour
NOTES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Diameter or Ø,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
